ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0x1633,CUS_0x1cdb,February,Deepaa,21,615-06-7821,Developer,35547.71,2962.3091666666664,7,5,5,0,,9,14,2.58,4,Standard,943.86,27.02036025389693,30.8,Unknown,0.0,74.44364104999623,High Spent Medium Value Payments,460.8872756166704,Standard
0x1634,CUS_0x1cdb,March,Deepaa,21,615-06-7821,Developer,35547.71,2853.3091666666664,7,5,5,1,,5,12,2.58,4,Standard,943.86,23.462303036448013,30.8,Yes,0.0,173.13865100158367,Low Spent Medium Value Payments,392.1922656650829,Standard
0x1635,CUS_0x1cdb,April,Deepaa,21,615-06-7821,Developer,35547.71,2853.3091666666664,7,5,5,0,,1,15,2.58,4,Unknown,943.86,28.924953778098622,30.9,Yes,0.0,96.78548508587444,High Spent Medium Value Payments,438.5454315807922,Standard
0x1636,CUS_0x1cdb,May,Deepaa,21,615-06-7821,Developer,35547.71,2853.3091666666664,7,5,5,0,,9,17,2.58,4,Unknown,943.86,41.77618715055719,31.0,Yes,0.0,62.72327834435009,High Spent Small Value Payments,482.6076383223166,Standard
0x1637,CUS_0x1cdb,June,Deepaa,21,615-06-7821,Developer,35547.71,2962.3091666666664,7,5,5,0,,5,15,2.58,4,Standard,943.86,29.217556326688413,31.1,Yes,0.0,37.64363788963997,High Spent Medium Value Payments,497.6872787770267,Standard
0x1638,CUS_0x1cdb,July,Deepaa,21,615-06-7821,Developer,35547.71,2853.3091666666664,7,5,5,0,,10,15,2.58,4,Standard,943.86,26.263822692130155,31.2,Yes,0.0,181.0119827315892,Low Spent Small Value Payments,394.31893393507744,Standard
0x1639,CUS_0x1cdb,August,Deepaa,21,615-06-7821,Developer,35547.71,2853.3091666666664,7,5,5,1,,1,15,2.58,4,Standard,943.86,25.86292247432155,31.2,Yes,0.0,181.33090096186916,High Spent Small Value Payments,364.00001570479753,Standard
0x163e,CUS_0x95ee,January,Np,31,612-70-8987,Lawyer,73928.46,6160.705000000001,4,1,8,0,,12,10,10.14,2,Good,548.2,39.96268501363903,0.0,No,150.15,98.67440994166124,High Spent Large Value Payments,740.1960900583389,Good
0x163f,CUS_0x95ee,February,Np,31,612-70-8987,Unknown,73928.46,5988.705000000001,4,5,8,0,,8,7,10.14,2,Good,548.2,42.76986440325711,32.0,Unknown,0.0,172.93921446875606,Low Spent Medium Value Payments,705.931285531244,Good
0x1640,CUS_0x95ee,March,Np,31,612-70-8987,Lawyer,73928.46,5988.705000000001,4,5,8,0,,8,7,10.14,2,Good,548.2,40.7121865299296,0.0,No,0.0,150.05973429800815,High Spent Medium Value Payments,698.8107657019921,Good
0x1642,CUS_0x95ee,May,Np,31,612-70-8987,Lawyer,73928.46,5988.705000000001,4,5,5,0,,11,7,10.14,2,Unknown,548.2,26.333310426871012,32.2,No,0.0,177.95183568608738,Low Spent Large Value Payments,690.9186643139128,Good
0x1643,CUS_0x95ee,June,Np,31,612-70-8987,Lawyer,73928.46,5988.705000000001,4,5,8,0,,7,7,10.14,2,Good,548.2,35.2754365244368,0.0,No,155.15,235.79032503182023,Low Spent Large Value Payments,633.0801749681799,Good
0x1644,CUS_0x95ee,July,Np,31,612-70-8987,Lawyer,73928.46,5988.705000000001,4,5,8,0,,8,4,9.14,2,Unknown,548.2,36.62479126183763,32.4,No,0.0,348.5093995125948,High Spent Small Value Payments,510.36110048740534,Standard
0x1656,CUS_0x5407,January,Annk,16,500-92-6408,Media Manager,34081.38,2840.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,11,17.13,5,Standard,1704.18,24.448062746255477,0.0,Unknown,70.5,162.4410091967751,Low Spent Large Value Payments,298.19215813115227,Poor
0x1657,CUS_0x5407,February,Annk,30,500-92-6408,Media Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,14,17.13,5,Unknown,1704.18,35.171160021263034,14.7,Yes,70.5,38.4369827577036,High Spent Large Value Payments,392.19618457022375,Poor
0x1658,CUS_0x5407,March,Annk,30,500-92-6408,Media Manager,34081.38,2840.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",31,14,17.13,5,Standard,1704.18,35.11155247196594,14.8,Yes,70.5,199.7207654954979,Low Spent Large Value Payments,260.9124018324295,Poor
0x1659,CUS_0x5407,April,Annk,30,500-92-6408,Unknown,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",34,14,21.13,5,Unknown,1704.18,29.76215930632113,14.8,Yes,70.5,220.5521919291672,Low Spent Small Value Payments,260.0809753987602,Poor
0x165a,CUS_0x5407,May,Annk,30,500-92-6408,Unknown,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",27,14,17.13,5,Unknown,1704.18,30.206214222610893,14.9,Yes,70.5,0.0,High Spent Large Value Payments,397.2283547370202,Standard
0x165b,CUS_0x5407,June,Annk,30,500-92-6408,Media Manager,34081.38,2611.115,8,7,15,1,"Not Specified, Auto Loan, and Student Loan",30,14,18.13,5,Standard,1704.18,31.17087232096111,15.0,Yes,70.5,0.0,Unknown,410.6743660782873,Standard
0x165c,CUS_0x5407,July,Annk,30,500-92-6408,Media Manager,34081.38,2840.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,11,17.13,5,Standard,1704.18,38.438505084064886,15.1,Unknown,70.5,55.45978063925893,High Spent Small Value Payments,395.1733866886683,Standard
0x165d,CUS_0x5407,August,Annk,30,500-92-6408,Media Manager,34081.38,2611.115,8,7,15,3,"Not Specified, Auto Loan, and Student Loan",30,14,17.13,9,Unknown,1704.18,33.82348834412097,15.2,Yes,70.5,29.32636371091455,High Spent Medium Value Payments,411.3068036170128,Poor
0x1664,CUS_0x4157,March,Charlie Zhur,23,070-19-1622,Doctor,114838.41,9569.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,0.0,3,Good,1377.74,35.14156730186042,21.5,Unknown,226.9,470.3857956796373,High Spent Small Value Payments,547.1081623988198,Good
0x1669,CUS_0x4157,August,Charlie Zhur,24,070-19-1622,Doctor,114838.41,9843.8675,2,5,7,3,"Personal Loan, Debt Consolidation Loan, and Auto Loan",11,11,8.24,8,Good,1377.74,27.813353640375272,21.9,No,226.9,254.57176724837916,High Spent Large Value Payments,742.9221908300779,Standard
0x166e,CUS_0xba08,January,Jamesj,44,366-68-1681,Journalist,31370.8,2825.233333333333,0,5,12,2,"Not Specified, and Payday Loan",4,0,5.76,2,Good,421.43,29.51935255713933,0.0,Unknown,46.6,154.352781097101,High Spent Small Value Payments,341.55442316289026,Good
0x166f,CUS_0xba08,February,Jamesj,44,366-68-1681,Journalist,31370.8,2825.233333333333,1,6,12,2,"Not Specified, and Payday Loan",2,0,-1.2400000000000002,2,Good,421.43,28.22048095698559,26.5,No,46.6,298.7444693112266,Low Spent Small Value Payments,227.1627349487646,Good
0x1670,CUS_0xba08,March,Jamesj,44,366-68-1681,Journalist,31370.8,2825.233333333333,1,6,12,2,"Not Specified, and Payday Loan",2,0,1.7599999999999998,5,Good,421.43,31.04641790511995,26.6,No,46.6,140.8206959818371,Low Spent Medium Value Payments,375.0865082781542,Good
0x1671,CUS_0xba08,April,Jamesj,44,366-68-1681,Journalist,31370.8,2825.233333333333,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5,Unknown,421.43,30.1680304036694,26.7,No,46.6,233.6055264233428,Low Spent Small Value Payments,292.3016778366485,Good
0x1672,CUS_0xba08,May,Jamesj,44,366-68-1681,Journalist,31370.8,2825.233333333333,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5,Unknown,421.43,25.18923173183331,26.8,No,164.15,184.70057162057685,Low Spent Small Value Payments,341.20663263941435,Good
0x1673,CUS_0xba08,June,Jamesj,44,366-68-1681,Journalist,31370.8,2825.233333333333,1,6,12,2,"Not Specified, and Payday Loan",1,0,5.76,5,Good,421.43,25.502468550245663,0.0,No,46.6,137.7174248951262,Low Spent Medium Value Payments,378.18977936486505,Good
0x1674,CUS_0xba08,July,Jamesj,45,366-68-1681,Journalist,31370.8,2825.233333333333,1,6,12,1,"Not Specified, and Payday Loan",1,2,5.76,5,Good,421.43,22.762202172732568,26.9,No,46.6,188.3949004901688,Low Spent Small Value Payments,337.51230376982244,Good
0x1675,CUS_0xba08,August,Jamesj,45,366-68-1681,Journalist,31370.8,2614.233333333333,1,6,12,2,"Not Specified, and Payday Loan",2,2,5.76,5,Unknown,421.43,37.56505276771999,27.0,No,46.6,252.6448271968889,Low Spent Small Value Payments,273.2623770631024,Good
0x167a,CUS_0xa66b,January,Unknown,40,221-30-8554,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11.0,4,Standard,1328.93,37.08907564543987,19.2,Unknown,65.0,117.30669710658556,High Spent Medium Value Payments,362.5457119402324,Standard
0x167b,CUS_0xa66b,February,Saphirj,40,221-30-8554,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11.0,4,Standard,1328.93,30.908080633467584,19.2,Yes,65.0,70.13107792087979,High Spent Large Value Payments,399.7213311259382,Standard
0x167c,CUS_0xa66b,March,Saphirj,40,221-30-8554,Unknown,33751.27,2812.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11.0,8,Standard,1328.93,38.03072168039317,19.3,Yes,65.0,270.18258222151513,Low Spent Large Value Payments,229.6698268253028,Standard
0x167d,CUS_0xa66b,April,Saphirj,40,221-30-8554,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",17,22,11.0,8,Standard,1328.93,23.40441277698757,19.4,Yes,65.0,25.192561910314712,High Spent Large Value Payments,444.6598471365032,Standard
0x167e,CUS_0xa66b,May,Saphirj,40,221-30-8554,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,8.0,8,Standard,1328.93,29.073758182245705,19.5,Yes,65.0,243.32968479530567,Low Spent Small Value Payments,276.5227242515123,Standard
0x167f,CUS_0xa66b,June,Saphirj,40,221-30-8554,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11.0,8,Standard,1328.93,32.78263672653516,19.6,Yes,65.0,72.86008181289458,High Spent Medium Value Payments,406.9923272339233,Standard
0x1680,CUS_0xa66b,July,Saphirj,40,221-30-8554,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,20,11.0,8,Standard,1328.93,35.58400504980836,19.7,Yes,65.0,35.427169541683696,Unknown,444.4252395051343,Standard
0x1681,CUS_0xa66b,August,Saphirj,41,221-30-8554,Teacher,33751.27,2948.605833333333,5,5,20,3,"Credit-Builder Loan, Personal Loan, and Auto Loan",16,17,11.0,8,Standard,1328.93,31.13948358493632,0.0,Yes,65.0,25.969611914778515,High Spent Large Value Payments,443.88279713203934,Standard
0x1686,CUS_0xc0ab,January,Soyoungd,32,342-90-2649,Engineer,88640.24,7266.686666666667,3,6,1,2,"Payday Loan, and Payday Loan",1,0,3.51,3,Good,950.36,28.210617211444603,25.4,No,135.2,98.93176402067012,High Spent Large Value Payments,732.563531674279,Standard
0x1687,CUS_0xc0ab,February,Soyoungd,33,342-90-2649,Engineer,88640.24,7266.686666666667,3,6,4,2,"Payday Loan, and Payday Loan",4,2,3.51,3,Good,950.36,41.036168282350594,25.5,Unknown,135.2,157.174788304235,High Spent Large Value Payments,674.3205073907143,Good
0x1688,CUS_0xc0ab,March,Soyoungd,33,342-90-2649,Engineer,88640.24,7266.686666666667,3,6,1,2,"Payday Loan, and Payday Loan",4,0,3.51,3,Good,950.36,34.670194379227716,25.6,No,135.2,298.1889114624804,High Spent Medium Value Payments,543.3063842324688,Standard
0x1689,CUS_0xc0ab,April,Soyoungd,33,342-90-2649,Engineer,88640.24,7266.686666666667,3,6,1,2,"Payday Loan, and Payday Loan",4,2,3.51,3,Good,950.36,31.828535574846637,25.7,No,135.2,0.0,Low Spent Small Value Payments,86.63611982901625,Standard
0x168a,CUS_0xc0ab,May,Soyoungd,33,342-90-2649,Engineer,88640.24,7266.686666666667,3,6,1,2,"Payday Loan, and Payday Loan",4,2,3.51,3,Good,950.36,34.702836927947075,25.8,No,135.2,279.61862207772435,High Spent Medium Value Payments,561.8766736172248,Good
0x168d,CUS_0xc0ab,August,Soyoungd,33,342-90-2649,Engineer,88640.24,7266.686666666667,3,6,1,2,"Payday Loan, and Payday Loan",1,14,3.51,3,Good,950.36,30.87079911079545,26.0,No,135.2,98.44195128223792,High Spent Large Value Payments,733.0533444127112,Good
0x1692,CUS_0x3e45,January,Harriet Mcleodd,35,414-53-2918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,3,Standard,179.22,25.649246067243418,26.8,Yes,124.4,243.7354373920944,Low Spent Large Value Payments,378.54048018698535,Standard
0x1693,CUS_0x3e45,February,Harriet Mcleodd,35,414-53-2918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,10,4.54,3,Standard,179.22,29.40877527612245,26.9,Yes,124.4,142.75186411942676,High Spent Medium Value Payments,459.52405345965286,Standard
0x1694,CUS_0x3e45,March,Harriet Mcleodd,35,,Entrepreneur,54392.16,4532.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",15,11,5.54,3,Unknown,179.22,31.25892846912917,27.0,Unknown,124.4,33.349568589344514,High Spent Large Value Payments,558.9263489897351,Standard
0x1695,CUS_0x3e45,April,Harriet Mcleodd,35,414-53-2918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,7,0.54,3,Standard,179.22,27.192587405326012,27.1,Yes,124.4,494.8422277056662,Low Spent Small Value Payments,147.43368987341347,Standard
0x1696,CUS_0x3e45,May,Harriet Mcleodd,35,414-53-2918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,11.54,3,Standard,179.22,34.59532445612005,27.2,Yes,124.4,233.1184454152274,Low Spent Small Value Payments,409.15747216385233,Standard
0x1698,CUS_0x3e45,July,Harriet Mcleodd,36,414-53-2918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,7,Standard,179.22,35.112531991297786,27.3,Yes,124.4,158.11240346721374,Low Spent Large Value Payments,464.1635141118658,Standard
0x1699,CUS_0x3e45,August,Harriet Mcleodd,36,414-53-2918,Entrepreneur,54392.16,4766.68,6,4,14,3,"Not Specified, Student Loan, and Personal Loan",10,8,5.54,7,Standard,179.22,32.8788050668308,27.4,Yes,124.4,495.1178978821161,Low Spent Small Value Payments,147.15801969696355,Standard
0x169e,CUS_0x6c66,January,Sinead Carews,39,328-33-6328,Manager,8701.545,725.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,9,8.86,6,Unknown,2602.69,24.523163853918167,8.9,Yes,36.5,13.066209919444336,Low Spent Large Value Payments,272.2984679091685,Poor
0x169f,CUS_0x6c66,February,Sinead Carews,39,328-33-6328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,9,8.86,6,Standard,2602.69,39.90251759709182,9.0,Yes,36.5,34.71516393565097,Low Spent Large Value Payments,250.64951389296183,Poor
0x16a0,CUS_0x6c66,March,Sinead Carews,39,328-33-6328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,14,8.86,6,Standard,2602.69,36.47591386327275,9.1,Unknown,36.5,45.6509755447516,Low Spent Large Value Payments,239.71370228386124,Poor
0x16a1,CUS_0x6c66,April,Sinead Carews,39,328-33-6328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",22,7,8.86,6,Standard,2602.69,32.09749227865355,9.2,Yes,36.5,20.390183876957128,Low Spent Small Value Payments,284.9744939516557,Poor
0x16a2,CUS_0x6c66,May,Sinead Carews,39,328-33-6328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",22,9,8.86,6,Standard,2602.69,37.16937449181635,9.2,Yes,36.5,50.486952198712274,Low Spent Small Value Payments,254.87772562990057,Poor
0x16a3,CUS_0x6c66,June,Unknown,39,328-33-6328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,6,0.0,6,Standard,2602.69,28.570031407996353,9.3,Yes,36.5,52.931613407134115,Low Spent Medium Value Payments,242.43306442147872,Poor
0x16a4,CUS_0x6c66,July,Unknown,39,328-33-6328,Manager,8701.545,725.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",21,9,0.0,9,Standard,2602.69,38.46541540543407,0.0,Yes,36.5,30.471806299271933,Low Spent Medium Value Payments,264.8928715293409,Poor
0x16a5,CUS_0x6c66,August,Sinead Carews,39,328-33-6328,Manager,8701.545,519.12875,6,5,32,7,"Personal Loan, Payday Loan, Student Loan, Auto Loan, Home Equity Loan, Student Loan, and Payday Loan",23,9,8.86,9,Standard,2602.69,28.815537059010616,9.5,Unknown,36.5,0.0,Low Spent Small Value Payments,264.7720511316515,Poor
0x16aa,CUS_0xff4,January,Poornimaf,36,655-05-7666,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,14,7.83,5,Standard,758.44,37.41820916883601,18.2,Unknown,101.3,53.104599112612064,High Spent Medium Value Payments,337.1522635235368,Standard
0x16ab,CUS_0xff4,February,Unknown,16,655-05-7666,Entrepreneur,25546.26,2128.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,13,7.83,6,Standard,758.44,29.711375540929513,18.2,Yes,101.3,300.32323168069064,Low Spent Small Value Payments,129.9336309554582,Standard
0x16ac,CUS_0xff4,March,Poornimaf,37,655-05-7666,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,10,7.83,5,Standard,758.44,25.413616742350907,18.3,Yes,101.3,91.21658676189335,Low Spent Large Value Payments,319.0402758742555,Standard
0x16ad,CUS_0xff4,April,Poornimaf,37,655-05-7666,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,10,7.83,6,Standard,758.44,35.946278218900645,18.4,Yes,101.3,83.7147504914459,High Spent Medium Value Payments,306.54211214470297,Standard
0x16ae,CUS_0xff4,May,Poornimaf,37,655-05-7666,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,13,7.83,5,Unknown,758.44,28.2774200145778,18.5,Yes,101.3,311.99934746655674,Low Spent Small Value Payments,118.2575151695921,Standard
0x16af,CUS_0xff4,June,Poornimaf,37,655-05-7666,Entrepreneur,25546.26,2415.855,8,7,14,5,"Not Specified, Student Loan, Student Loan, Credit-Builder Loan, and Auto Loan",16,10,7.83,5,Unknown,758.44,34.58659948959524,0.0,Yes,101.3,61.7307484719951,High Spent Small Value Payments,338.52611416415374,Standard
